kio-extras 22.08.2-1
kio-fuse 5.0.1-1
kio-gdrive 22.08.2-1
kio-zeroconf 22.08.2-1
kirigami-gallery 22.08.2-1
kirigami2 5.99.0-1
kiriki 22.08.2-1
kitemmodels 5.99.0-1
kitemviews 5.99.0-1
kiten 22.08.2-1
kitinerary 22.08.2-1
kjobwidgets 5.99.0-1
kjs 5.99.0-1
kjumpingcube 22.08.2-1
kldap 22.08.2-1
kleopatra 22.08.2-1
klettres 22.08.2-1
klickety 22.08.2-1
klines 22.08.2-1
kmag 22.08.2-1
kmahjongg 22.08.2-1
kmail 22.08.2-1
kmail-account-wizard 22.08.2-1
kmailtransport 22.08.2-1
kmbox 22.08.2-1
kmenuedit 5.26.0-1
kmime 22.08.2-1
kmines 22.08.2-1
kmix 22.08.2-1
kmod 30-1
kmousetool 22.08.2-1
kmouth 22.08.2-1
kmplot 22.08.2-1
knavalbattle 22.08.2-1
knetwalk 22.08.2-1
knewstuff 5.99.0-1
knights 22.08.2-1
knotes 22.08.2-1
knotifications 5.99.0-1
knotifyconfig 5.99.0-1
kolf 22.08.2-1
kollision 22.08.2-1
kolourpaint 22.08.2-1
komorebi 2.2.1-1
kompare 22.08.2-1
konqueror 22.08.2-1
konquest 22.08.2-1
konsole 22.08.2-1
kontact 22.08.2-1
kontactinterface 22.08.2-1
konversation 22.08.2-1
kopeninghours 22.08.2-1
kopete 22.08.2-1
korganizer 22.08.2-1
kosmindoormap 22.08.2-1
kotlin 1.7.20-1
kpackage 5.99.0-1
kparts 5.99.0-1
kpat 22.08.2-1
kpeople 5.99.0-1
kpeoplevcard 0.1-1
kpimtextedit 22.08.2-1
kpipewire 5.26.0-1
kpkpass 22.08.2-1
kplotting 5.99.0-1
kpmcore 22.08.2-1
kpty 5.99.0-1
kpublictransport 22.08.2-1
kqtquickcharts 22.08.2-1
kquickcharts 5.99.0-1
krb5 1.20-1
krdc 22.08.2-1
kreversi 22.08.2-1
krfb 22.08.2-1
krita 5.1.1-2
krita-plugin-gmic 3.1.6.1-1
kross 5.99.0-1
kruler 22.08.2-1
krunner 5.99.0-1
ksanecore 22.08.2-1
kscreen 5.26.0-2
kscreenlocker 5.26.0-1
kseexpr 4.0.4.0-1
kservice 5.99.0-1
kshisen 22.08.2-1
ksirk 22.08.2-1
ksmtp 22.08.2-1
ksnakeduel 22.08.2-1
kspaceduel 22.08.2-1
ksquares 22.08.2-1
ksshaskpass 5.26.0-1
ksudoku 22.08.2-1
ksysguard 5.22.0-1
ksystemlog 22.08.2-1
ksystemstats 5.26.0-1
kteatime 22.08.2-1
ktexteditor 5.99.0-1
ktextwidgets 5.99.0-1
ktimer 22.08.2-1
ktnef 22.08.2-1
ktorrent 22.08.2-1
ktouch 22.08.2-1
ktuberling 22.08.2-1
kturtle 22.08.2-1
kubrick 22.08.2-1
kunitconversion 5.99.0-1
kuserfeedback 1.2.0-1
kwallet 5.99.0-1
kwallet-pam 5.26.0-1
kwalletmanager 22.08.2-1
kwave 22.08.2-1
kwayland 5.99.0-1
kwayland-integration 5.26.0-1
kwidgetsaddons 5.99.0-1
kwin 5.26.0-1
kwindowsystem 5.99.0-1
kwordquiz 22.08.2-1
kwrited 5.26.0-1
kxmlgui 5.99.0-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-4
lapack 3.10.1-1
latte-dock-git 0.10.8.r5976.0acb0037-1
layer-shell-qt 5.26.0-1
lazarus 2.2.4-1
lazydocker 0.18.1-1
lazygit 0.35-1
lcms2 2.13.1-1
ldb 2:2.6.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
leptonica 1.82.0-2
less 1:608-1
leveldb 1.23-3
lf 27-2
lib2geom 1.2-2
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7.2-1
lib32-alsa-plugins 1.2.7.1-1
lib32-amdvlk 2022.Q3.5-1
lib32-at-spi2-core 2.46.0-2
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-clang 14.0.6-2
lib32-colord 1.4.6-1
lib32-curl 7.85.0-1
lib32-dbus 1.14.4-1
lib32-dbus-glib 0.112-2
lib32-dconf 0.40.0-2
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.9-1
lib32-faudio 22.10-1
lib32-flac 1.4.1-2
lib32-fluidsynth 2.3.0-2
lib32-fontconfig 2:2.14.0-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gamemode 1.7-1
lib32-gcc-libs 12.2.0-1
lib32-gdk-pixbuf2 2.42.9-1
lib32-gettext 0.21-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-5
lib32-glib-networking 2.74.0-1
lib32-glib2 2.74.0-2
lib32-glibc 2.36-6
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.8-1
lib32-gst-plugins-base-libs 1.20.3-2
lib32-gstreamer 1.20.3-2
lib32-gtk2 2.24.33-2
lib32-gtk3 3.24.34+r156+g812b3930d0-1
lib32-harfbuzz 5.3.0-1
lib32-icu 71.1-1
lib32-imlib2 1.9.1-1
lib32-jansson 2.14-1
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20-1
lib32-l-smash 2.14.5-2
lib32-lcms2 2.13.1-1
